FID,YR,NODEID,Lon,Lat,Fatalities,PedFatalit,BikeFatali,MVOFatalit
39,2016,54353,-73.85369912718562,40.904957156563114,1,0,0,1
40,2016,38634,-73.73203728926738,40.65293107112299,1,0,0,1
41,2016,44533,-73.92027632016081,40.86260589683193,1,0,0,1
42,2016,17576,-73.95840173769759,40.61958367498332,1,0,0,1
43,2016,17229,-73.97580132178777,40.623593546693954,1,1,0,1
44,2016,19737,-73.95398938717433,40.693205273314796,1,0,1,1
45,2016,28051,-73.90898884860802,40.70503175250532,1,0,0,1
46,2016,31703,-73.85111056231781,40.68473394561189,1,0,0,1
47,2016,16714,-73.96303344640695,40.59810221727946,1,1,0,1
48,2016,16969,-73.95188918244091,40.58593599740645,1,1,1,0
49,2016,27533,-73.93480281900919,40.713372495594676,1,0,1,1
50,2016,59736,-73.77325803389708,40.744580297681374,1,0,0,1
51,2016,53854,-73.84692347754535,40.87415335087067,1,0,0,1
52,2016,14672,-73.99776979492762,40.674741487891886,1,1,1,1
53,2016,46710,-73.88536728150105,40.75555694376183,1,0,0,1
