FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,Lon,Lat,STREET1,STREET2
110,1,110,1,0,0,1,7,2016,53473,-73.86517770356079,40.87233111767858,HOLLAND AVENUE,SOUTH OAK DRIVE
111,1,111,1,1,0,0,7,2016,51956,-73.86761325625557,40.82481759428341,ROSEDALE AVENUE,BRUCKNER BOULEVARD
112,1,112,1,1,0,0,7,2016,13404,-74.0008419975748,40.61261629427888,79 STREET,NEW UTRECHT AVENUE
113,1,113,1,0,0,1,7,2016,34105,-73.81075876658824,40.67952515642953,130 STREET,115 AVENUE
114,1,114,1,1,0,0,7,2016,21235,-73.9985803448831,40.7642799507938,WEST 46 STREET,12 AVENUE
115,1,115,1,0,1,0,7,2016,46674,-73.8850944203574,40.74397395756953,WOODSIDE AVENUE,BROADWAY
116,1,116,1,1,0,0,7,2016,22813,-73.96480079536157,40.75998213888108,2 AVENUE,EAST 58 STREET
117,1,117,1,1,0,0,7,2016,44087,-73.9176098851155,40.84127484124394,MACOMBS ROAD,PLAZA DRIVE
118,1,118,1,1,0,0,7,2016,47254,-73.90298795469131,40.80936430080019,EAST 149 STREET,BRUCKNER BOULEVARD
119,1,119,1,1,0,0,7,2016,22098,-73.95713104592984,40.71838770601306,BEDFORD AVENUE,NORTH 8 STREET
120,1,120,1,0,1,0,7,2016,19948,-73.94559624715764,40.71148150060812,GRAND STREET,MANHATTAN AVENUE
121,1,121,1,1,0,0,8,2016,47579,-73.8827603038448,40.823248548006035,BRUCKNER EXPRESSWAY EXIT 51 WB,BRUCKNER BOULEVARD
122,1,122,1,1,0,0,8,2016,41663,-73.92458828520057,40.761600348122236,BROADWAY,32 STREET
123,1,123,1,1,0,0,8,2016,48414,-73.87640134543943,40.82897729408856,WESTCHESTER AVENUE,MANOR AVENUE
124,1,124,1,1,0,0,8,2016,23360,-73.97461559635518,40.79332480455422,WEST 93 STREET,WEST END AVENUE
125,1,125,1,0,0,1,8,2016,29376,-73.8962177369875,40.67735818320405,NEW JERSEY AVENUE,FULTON STREET
126,1,126,1,0,0,1,8,2016,52612,-73.86176166549505,40.84151272026238,EAST TREMONT AVENUE,DOGWOOD DRIVE
127,1,127,2,2,0,0,8,2016,29769,-73.87536132230375,40.682748262463754,FULTON STREET,CHESTNUT STREET
128,1,128,1,1,0,0,8,2016,52535,-73.863923028251,40.84968445798044,BARNES AVENUE,BRONXDALE AVENUE
129,1,129,1,1,0,0,8,2016,8414,-74.08887113173583,40.59017767865516,ATLANTIC AVENUE,HYLAN BOULEVARD
130,1,130,1,1,0,0,8,2016,9171,-74.09010830306634,40.60940338921643,NARROWS ROAD NORTH,RICHMOND ROAD
131,1,131,1,1,0,0,8,2016,14150,-73.99336253682708,40.64124779929509,43 STREET,FT HAMILTON PARKWAY
132,1,132,1,1,0,0,8,2016,48409,-73.87765492017913,40.826151703467836,WATSON AVENUE,BOYNTON AVENUE
133,1,133,1,0,1,0,8,2016,26690,-73.9400297694668,40.663020742056496,ALBANY AVENUE,LEFFERTS AVENUE
134,1,134,1,1,0,0,8,2016,40160,-73.74050336522436,40.70343355606721,MURDOCK AVENUE,SPRINGFIELD BOULEVARD
135,1,135,1,1,0,0,8,2016,25714,-73.9224975087343,40.60980907934467,FLATBUSH AVENUE,AVENUE U
136,1,136,1,0,1,0,8,2016,61734,-73.75848075027307,40.76199473662544,223 STREET,NORTHERN BOULEVARD
137,1,137,1,1,0,0,8,2016,20911,-73.98494102795566,40.73234760320862,2 AVENUE,EAST 14 STREET
138,1,138,1,1,0,0,8,2016,46770,-73.88131497721254,40.75412313238878,86 STREET,34 AVENUE
139,1,139,1,1,0,0,8,2016,15812,-73.99301588422479,40.71435562470161,ALLEN STREET,DIVISION STREET
140,1,140,1,1,0,0,9,2016,108589,-73.83502809052617,40.677365721631446,CENTREVILLE STREET,103 STREET
141,1,141,1,1,0,0,9,2016,21533,-73.97951319122312,40.761148561297595,WEST 52 STREET,AVENUE OF THE AMERICAS
142,1,142,1,1,0,0,9,2016,36624,-73.777167750379,40.66362042573931,144 TERRACE,ROCKAWAY BOULEVARD
143,1,143,1,1,0,0,9,2016,28911,-73.88941657753762,40.656980284572406,PENNSYLVANIA AVENUE,STANLEY AVENUE
144,1,144,1,1,0,0,9,2016,17461,-73.96196552532645,40.60784311348576,QUENTIN ROAD,CONEY ISLAND AVENUE
145,1,145,1,1,0,0,9,2016,42121,-73.93445598894958,40.79730989444724,1 AVENUE,EAST 118 STREET
146,1,146,1,1,0,0,9,2016,12842,-73.99381109296783,40.601950488788205,BAY PARKWAY,86 STREET
147,1,147,1,1,0,0,9,2016,10803,-74.07564613667721,40.6266637188552,BAY STREET,CANAL STREET
148,1,148,1,1,0,0,9,2016,22932,-73.96110996994804,40.76906440772093,EAST 71 STREET,3 AVENUE
149,1,149,1,1,0,0,9,2016,35485,-73.78899636993684,40.59241126973936,ROCKAWAY FREEWAY,BEACH 59 STREET
150,1,150,1,0,0,1,9,2016,33940,-73.81958777761903,40.679006611386065,LINDEN BOULEVARD,120 STREET
151,1,151,1,1,0,0,9,2016,24089,-73.95451229633586,40.81068660198742,MORNINGSIDE AVENUE,WEST 124 STREET
152,1,152,1,1,0,0,9,2016,24918,-73.9367573679347,40.598817383883265,COYLE STREET,AVENUE V
153,1,153,1,0,0,1,10,2016,21041,-74.00808550756486,40.74610996538617,11 AVENUE,WEST 19 STREET
154,1,154,1,1,0,0,10,2016,52832,-73.85220721017332,40.83634749503935,STARLING AVENUE,CASTLE HILL AVENUE
155,1,155,1,1,0,0,10,2016,22565,-73.97319260055413,40.746940548158875,EAST 38 STREET,QUEENS MIDTOWN TUNNEL APPROACH
156,1,156,1,1,0,0,10,2016,55439,-73.83324515753716,40.76257082198132,NORTHERN BOULEVARD,PRINCE STREET
157,1,157,1,0,0,1,10,2016,6675,-74.12750057491586,40.61565567143186,CROWELL AVENUE,WESTCOTT BOULEVARD
158,1,158,1,1,0,0,10,2016,15139,-74.01287851619848,40.702664500855775,WATER STREET,WHITEHALL STREET
159,1,159,1,1,0,0,10,2016,46864,-73.8763282796021,40.76318053132684,ASTORIA BOULEVARD,93 STREET
